0,-93.614,-0.001,-89.994,0.037,0.013
87.2,-93.613,-0.001,-89.994,0.037,0.013
87.2,-101.028,-0.001,-89.994,0.037,0.013
87.2,-101.028,43.087,-89.994,0.037,0.013
150.184,-101.028,43.087,-89.994,0.037,0.013
150.184,-98.787,27.783,-89.994,0.045,0.013
89.472,-98.787,27.783,-89.994,63.564,0.013
89.472,-98.787,50.203,-89.994,63.564,0.013
89.472,-98.787,87.561,-89.994,63.564,0.013
44.728,-98.787,87.561,-89.994,63.564,0.013
44.728,-98.787,87.561,-89.994,63.564,161.687
44.728,-98.787,87.561,-89.994,16.631,161.687
44.728,-98.787,87.561,-173.320,16.631,161.687
44.728,-120.418,87.561,-173.320,16.631,161.687
44.728,-120.418,87.561,-173.320,-26.595,161.687
44.728,-120.418,58.181,-173.320,-26.595,161.687
44.728,-77.681,58.181,-173.320,-26.595,161.687
25.687,-77.681,58.181,-173.320,-26.595,161.687
103.791,-77.681,58.181,-173.320,-26.595,161.687
103.791,-114.045,58.181,-173.320,-26.595,161.687
